absolute file path,filename,extension,size (in bytes),last modified,md5_checksum,sha256_checksum
/Users/gregorymccollum/Desktop/SI676_desk/networked-services-labs/data/webfiles-samples/presentation/Non-FTE-Trainee-Activities-060109.ppt,Non-FTE-Trainee-Activities-060109.ppt,.ppt,67072,2022-09-28 T 09:41:40,e71a83494f2565ee5168b7dc3d4de306,351b47d6681660cff330ab253902f92a638a5fb8e4ba3a39dfb2fc4b27778a70
/Users/gregorymccollum/Desktop/SI676_desk/networked-services-labs/data/shell-tests/201403160_01_text.json,201403160_01_text.json,.json,392407,2022-09-28 T 09:41:40,4f00f6738afd560519a6cf41756228cc,ddec5c528333c1ae75354898d3baf061e5c3d2dcc4da6aac75ca779913b46d3e
/Users/gregorymccollum/Desktop/SI676_desk/networked-services-labs/data/shell-tests/2014-01-31_JA-america.tsv,2014-01-31_JA-america.tsv,.tsv,7731914,2022-09-28 T 09:41:40,c77ed0104498a43fc8dc86667825c156,b4c735efc0a0c48f68675f9d5a7fd3f9b0968a23c06bd7b3bff59e618f6cb7c1
/Users/gregorymccollum/Desktop/SI676_desk/networked-services-labs/data/shell-tests/33504-0.txt,33504-0.txt,.txt,586635,2022-09-28 T 09:41:40,8dbc442349ab803233675ceba13f5a95,9a79020777b51d59898efad728c75ccfe63d357197a0855fbe2ff7e9105022f0
/Users/gregorymccollum/Desktop/SI676_desk/networked-services-labs/data/shell-tests/pg514.txt,pg514.txt,.txt,1032418,2022-09-28 T 09:41:40,586511c9a49eb98e54b189b1dd4822ab,5638f6bd84a0646b6b0e7f53f3a50a2c755356f88da7c7c17b1b7cdb1103b582
/Users/gregorymccollum/Desktop/SI676_desk/networked-services-labs/data/shell-tests/2014-01-31_JA-africa.tsv,2014-01-31_JA-africa.tsv,.tsv,3773660,2022-09-28 T 09:41:40,7bf627c61206e593714fb43b49997261,12f69a90589e04dfd83f10b975f90e5ac577c1ae6a52eefb2f7af91794032678
/Users/gregorymccollum/Desktop/SI676_desk/networked-services-labs/data/shell-tests/2014-02-02_JA-britain.tsv,2014-02-02_JA-britain.tsv,.tsv,1453418,2022-09-28 T 09:41:40,a83e9a6514b01567b2cf861d6a00acea,7ebe69dc38d60e50980fcbd01bc5910a611e6850a879067097c5fc74cd252776
/Users/gregorymccollum/Desktop/SI676_desk/networked-services-labs/data/shell-tests/829-0.txt,829-0.txt,.txt,602147,2022-09-28 T 09:41:40,cf3f6ce27978e65233025af7f876ffdb,1e9e6adeaef08cb43658ccbaf30301ee3a0f7955d33e495b36fe588860962e06
/Users/gregorymccollum/Desktop/SI676_desk/networked-services-labs/data/shell-tests/diary.html,diary.html,.html,18417,2022-09-28 T 09:41:40,f4c84f039ae0079764ee73b7d0401b85,9c032456cba7fb29993d70d4cdaf053323f7974e488ebaaf4e26f0f2639ef069
/Users/gregorymccollum/Desktop/SI676_desk/networked-services-labs/data/animal-counts/animals.csv,animals.csv,.csv,155,2022-09-28 T 09:41:40,c2ed3b02105dd0081eac853bdf2edf9f,6a9e24d8d7d1597516fd37309992f794b851d2403a668ac1a321194429e7ed11
